CODENAME        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                 
bookworm        boost                       libboost-dev                    1.83.0                 libboost-dev_1.83.0-1build1_amd64.deb                    b3c3e26a5e06c0033e117aec6490d4d1    
bullseye        boost                       libboost-dev                    1.83.0                 libboost-dev_1.83.0-1build1_amd64.deb                    59f11400e4191a93351d06dd3cd619e3    
jammy           boost                       libboost-dev                    1.83.0                 libboost-dev_1.83.0-1build1_amd64.deb                    962ea6c60bc1d69cf5a572240988f63a    

bookworm        deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      7ee2203319ae970e509b979afca58ccb    
bullseye        deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      ab91fdadf5454f2b7d2b83df65c02d25    
jammy           deluge                      deluge-common                   2.0.3                  deluge-common_2.0.3-1build1_all.deb                      6b5e29e9b82cce5f492525c1ee59766b    
bookworm        deluge                      deluge-common                   2.0.3.1                deluge-common_2.0.3.1-1build1_all.deb                    368a7e8dd5a83b8586591ad296548b51    
bullseye        deluge                      deluge-common                   2.0.3.1                deluge-common_2.0.3.1-1build1_all.deb                    5f96d88b0b48faa4b7b52954aeccaf79    
jammy           deluge                      deluge-common                   2.0.3.1                deluge-common_2.0.3.1-1build1_all.deb                    5df2b3af369f49a484f9da0e310f4e22    
bookworm        deluge                      deluge-common                   2.0.5                  deluge-common_2.0.5-1build1_all.deb                      23caa76bb03d6eae46ae6412eacd8404    
bullseye        deluge                      deluge-common                   2.0.5                  deluge-common_2.0.5-1build1_all.deb                      212e9130fcff6f082d770433fcd4ca3c    
jammy           deluge                      deluge-common                   2.0.5                  deluge-common_2.0.5-1build1_all.deb                      12147d312aeb913fa08f06af35757c5a    
bookworm        deluge                      deluge-common                   2.1.1                  deluge-common_2.1.1-1build1_all.deb                      6e935708f9b1f6962a31570e4a05163e    
bullseye        deluge                      deluge-common                   2.1.1                  deluge-common_2.1.1-1build1_all.deb                      2934ecba85f4d8db1fdc439340209ad8    
jammy           deluge                      deluge-common                   2.1.1                  deluge-common_2.1.1-1build1_all.deb                      1bc9875e3b63071949a1ab2829120eae    

bookworm        deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     c9a01a74c67be5ae684d4a06d7afa5e0    
bullseye        deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     7de0f8171e333aa651bafd961d524e12    
jammy           deluge                      deluge-console                  2.0.3                  deluge-console_2.0.3-1build1_all.deb                     91a2fcd8fd0fcdc166005d55902dba28    
